Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
DNN,0.9996,1.0,1.0,1.0,1.0
Transformer,0.9995742106088789,0.9998046493455753,0.9994532104358694,0.9996288990019336,0.9999528711119827
Autoencoder (Optimized),0.5911077247159536,0.5839877636745503,0.9991017028589283,0.7371196403872752,0.38684239604531656
Autoencoder (Improved),0.5846984738811823,0.5801196356550505,0.999960943602562,0.7342625254524074,0.352878747273332
Autoencoder (Original),0.3855859086121507,0.08663930688554491,0.007420715513201062,0.01367053998632946,0.35845823159483026
